LOCALITY_,PRIME_DPS_,NAME,PRINT_NAME,NAME_2,POPULATION,PERIM_FT,AREA_SQ_FT,SOURCE,UPDATE_,NOTES,SHAPE_AREA,SHAPE_LEN,frac_1,frac_2,frac_3,frac_4,frac_5,frac_6,frac_7,frac_8
276,34847,Hilton village,Hilton,NA,5371,40000,NA,RGE,2000,NA,4114634.70093,12192.0281329,0,0,0,0,0,0,0,0
279,64837,Salisbury town,Salisbury,NA,1985,232684,NA,NGRID,2000,NA,279981075.753,70923.3135973,0,0,0,0,0,0,0,0
280,31269,Hadley town,Hadley,NA,1953,160236,NA,NGRID,2000,NA,106155765.452,48840.4008349,0,0,0,0,0,0,0,0
282,17904,Constantia town,Constantia,NA,5723,248762,NA,NGRID,2000,NA,255053384.955,75824.6763495,0,0,0,0,0,0,0,0
284,23591,Edinburg town,Edinburg,NA,1409,190607,NA,NGRID,2000,NA,173592325.015,58097.5754471,0,0,0,0,0,0,0,0
286,75280,Trenton town,Trenton,NA,3813,214216,NA,NGRID,2000,NA,110816358.567,65294.3467544,0,0,0,0,0,0,0,0
287,15957,Clarkson town,Clarkson,NA,6620,135010,NA,NGRID,2000,NA,85555705.5233,41151.8473824,0,0,0,0,0,0,0,0
288,77486,Vienna town,Vienna,NA,5289,299585,NA,NGRID,2000,NA,243218905.479,91315.802406,0,0,0,0,0,0,0,0
290,37165,Huron town,Huron,NA,2165,183322,NA,RGE,2000,NA,103064984.97,55878.2903001,0,0,0,0,0,0,0,0
292,48318,Moreau town,Moreau,NA,10015,178442,NA,NGRID,2000,NA,108889756.727,54389.5270359,0,0,0,0,0,0,0,0
375,04198,Baldwinsville village,Baldwinsville,T Lysander,6748,62750,NA,NGRID,2000,NA,8401510.03208,19126.7056311,0,0,0,0,0,0,0,0
377,02440,Arcadia town,Arcadia,NA,5296,246196,NA,NYSEG,2000,NA,122704316.41,75043.1960223,0,0,0,0,0,0,0,0
383,17849,Conquest town,Conquest,NA,1914,142011,NA,RGE,2000,NA,93789540.9499,43286.636318,0,0,0,0,0,0,0,0
386,80533,Westmoreland town,Westmoreland,NA,6147,146550,NA,NGRID,2000,NA,111793864.903,44669.5508782,0,0,0,0,0,0,0,0
387,11572,Byron town,Byron,NA,2507,120948,NA,NGRID,2000,NA,83513476.7024,36865.5567314,0,0,0,0,0,0,0,0
389,59949,Providence town,Providence,NA,2005,142812,NA,NGRID,2000,NA,117216616.737,43529.4939392,0,0,0,0,0,0,0,0
390,65695,Schuyler town,Schuyler,NA,3429,147315,NA,NGRID,2000,NA,104054715.924,44902.39282,0,0,0,0,0,0,0,0
396,15638,Churchville village,Churchville,NA,1455,47962,NA,Municipal,2000,NA,2973093.70231,14619.0672082,0,0,0,0,0,0,0,0
397,58365,Pittsford town,Pittsford,NA,25302,137761,NA,RGE,2000,NA,58967678.4561,41990.482205,0,0,0,0,0,0,0,0
401,22870,East Rochester town,East Rochester,NA,6939,43878,NA,RGE,2000,NA,3508035.99975,13374.3562769,0,0,0,0,0,0,0,0
403,00474,Alabama town,Alabama,NA,2423,155759,NA,NGRID,2000,NA,134715567.126,47475.7313022,0,0,0,0,0,0,0,0
404,47108,Middleville village,Middleville,T Newport,525,19313,NA,NGRID,2000,NA,2050463.02905,5886.76870961,0,0,0,0,0,0,0,0
406,44160,Macedon town,Macedon,NA,6360,159831,NA,NYSEG,2000,NA,97433909.0407,48717.882875,0,0,0,0,0,0,0,0
410,38143,Jackson town,Jackson,NA,1706,184072,NA,NGRID,2000,NA,97373430.0966,56105.7430239,0,0,0,0,0,0,0,0
411,28013,Galen town,Galen,NA,2211,198899,NA,NYSEG,2000,NA,149449342.167,60626.8829925,0,0,0,0,0,0,0,0
