id,nameCol,nameAlt,frac_1,frac_2,frac_3,frac_4,frac_5,frac_6,frac_7,frac_8
nta,Ferry Point Park-St. Raymond Cemetery,BX1091,0.11578087508678436,0.6464804410934448,0.011653151363134384,0.02016059309244156,0.008747394196689129,0.09751533716917038,0.099662184715271,0
nta,Pelham Parkway-Van Nest,BX1101,0.15027238428592682,0.046247053891420364,1.2709811562672257e-4,0,0.2958790361881256,0.15849442780017853,0.3096340000629425,0.03934604674577713
nta,Morris Park,BX1102,0.21884821355342865,0.10950710624456406,2.870218304451555e-4,0,0.22695311903953552,0.14484764635562897,0.28498587012290955,0.014571025967597961
nta,Pelham Gardens,BX1103,0.21039186418056488,0.11589919030666351,3.8283149478957057e-4,0,0.21224108338356018,0.16456778347492218,0.2924809157848358,0.004036345053464174
nta,Allerton,BX1104,0.21440187096595764,0.05740102007985115,1.773983967723325e-4,0,0.262675017118454,0.1690998077392578,0.2857140898704529,0.010530781000852585
nta,Hutchinson Metro Center,BX1161,0.14990171790122986,0.19853325188159943,0.007996698841452599,0,0.15519165992736816,0.12544143199920654,0.28148090839385986,0.08145434409379959
nta,Williamsbridge-Olinville,BX1201,0.2002948671579361,0.08186382055282593,0.0027514887042343616,0.0024825006257742643,0.2494097501039505,0.15742117166519165,0.2858186960220337,0.01995764672756195
nta,Eastchester-Edenwald-Baychester,BX1202,0.23915299773216248,0.11852122098207474,0.0025031985715031624,0.008320467546582222,0.1880742758512497,0.16342435777187347,0.2736899256706238,0.006313602440059185
nta,Wakefield-Woodlawn,BX1203,0.19649425148963928,0.08775404840707779,9.049691143445671e-4,0.0012923924950882792,0.24952366948127747,0.13889066874980927,0.2884555160999298,0.03668446093797684
nta,Woodlawn Cemetery,BX1271,0.425925076007843,0.4483940601348877,2.963595907203853e-4,0.005360023118555546,0.006890084594488144,0.08867836743593216,0.024455949664115906,0
nta,Van Cortlandt Park,BX2691,0.659611165523529,0.21939721703529358,0.005257807672023773,0.014543196186423302,0.0033235230948776007,0.04971740394830704,0.047372546046972275,7.771155796945095e-4
nta,Bronx Park,BX2791,0.6028082370758057,0.15949837863445282,0.010383719578385353,0.02523106336593628,0.024964388459920883,0.08310884237289429,0.08803495019674301,0.005970443598926067
nta,Pelham Bay Park,BX2891,0.4204401969909668,0.34487730264663696,0.03966040164232254,0.08389974385499954,0.002535490784794092,0.040892358869314194,0.05991314351558685,0.007781330496072769
nta,Financial District-Battery Park City,MN0101,0.11309435218572617,0.03334011882543564,1.591152249602601e-5,0.0047383420169353485,0.36812612414360046,0.19874610006809235,0.2819390892982483,0
nta,Tribeca-Civic Center,MN0102,0.09371360391378403,0.019238900393247604,0,0.0012973560951650143,0.421450674533844,0.23305495083332062,0.23124448955059052,0
nta,The Battery-Governors Island-Ellis Island-Liberty Island,MN0191,0.2059377133846283,0.25596481561660767,0.05494349077343941,0.005145917646586895,0.15955998003482819,0.06653209030628204,0.25191596150398254,0
